CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:14 PM,QTUM,bitfinex,3100.576,cex,3704.44,19.476,-16.301

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:17 PM,XRP,cex,73.325,koinex  ,94.0,28.197,-21.995
27/Dec/2017: 07:17 PM,XRP,Bittrex ,75.93,koinex  ,94.0,23.798,-19.223
27/Dec/2017: 07:17 PM,XRP,exmo    ,76.206,koinex  ,94.0,23.35,-18.93
27/Dec/2017: 07:17 PM,XRP,bitfinex,73.177,koinex  ,94.0,28.455,-22.152
27/Dec/2017: 07:17 PM,XRP,Kraken  ,72.908,koinex  ,94.0,28.929,-22.438

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:17 PM,ETH,cex,52447.518,koinex  ,58270.0,11.102,-9.992
27/Dec/2017: 07:17 PM,ETH,Bittrex ,50131.778,koinex  ,58270.0,16.234,-13.966
27/Dec/2017: 07:17 PM,ETH,exmo    ,50157.468,koinex  ,58270.0,16.174,-13.922
27/Dec/2017: 07:17 PM,ETH,bitfinex,48125.308,koinex  ,58270.0,21.08,-17.41
27/Dec/2017: 07:17 PM,ETH,Kraken  ,48243.14,koinex  ,58270.0,20.784,-17.208

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:18 PM,LTC,Bittrex ,18288.166,koinex  ,21220.0,16.031,-13.816
27/Dec/2017: 07:18 PM,LTC,exmo    ,18187.076,koinex  ,21220.0,16.676,-14.293
27/Dec/2017: 07:18 PM,LTC,bitfinex,17556.292,koinex  ,21220.0,20.868,-17.265
27/Dec/2017: 07:18 PM,LTC,Kraken  ,17706.143,koinex  ,21220.0,19.845,-16.559

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:18 PM,BTC,cex,1100104.848,koinex  ,1231000.0,11.898,-10.633
27/Dec/2017: 07:18 PM,BTC,Bittrex ,1048767.471,koinex  ,1231000.0,17.376,-14.804
27/Dec/2017: 07:18 PM,BTC,exmo    ,1045583.965,koinex  ,1231000.0,17.733,-15.062
27/Dec/2017: 07:18 PM,BTC,bitfinex,1009382.718,koinex  ,1231000.0,21.956,-18.003
27/Dec/2017: 07:18 PM,BTC,Kraken  ,1018770.835,koinex  ,1231000.0,20.832,-17.24

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:18 PM,ZEC,Bittrex ,35830.222,cex,37462.777,4.556,-4.358
27/Dec/2017: 07:18 PM,ZEC,exmo    ,35548.056,cex,37462.777,5.386,-5.111
27/Dec/2017: 07:18 PM,ZEC,bitfinex,34463.228,cex,37462.777,8.704,-8.007
27/Dec/2017: 07:18 PM,ZEC,Kraken  ,34743.719,cex,37462.777,7.826,-7.258

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:18 PM,QTUM,bitfinex,3093.724,coindelta,3700.0,19.597,-16.386

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:27 PM,XRP,cex,73.542,koinex  ,91.9,24.962,-19.976
27/Dec/2017: 07:27 PM,XRP,Bittrex ,76.412,koinex  ,91.9,20.269,-16.853
27/Dec/2017: 07:27 PM,XRP,exmo    ,76.136,koinex  ,91.9,20.705,-17.153
27/Dec/2017: 07:27 PM,XRP,bitfinex,73.325,koinex  ,91.9,25.333,-20.213
27/Dec/2017: 07:27 PM,XRP,Kraken  ,73.133,koinex  ,91.9,25.662,-20.422

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:27 PM,ETH,cex,52678.27,koinex  ,58910.0,11.83,-10.578
27/Dec/2017: 07:27 PM,ETH,Bittrex ,50404.422,koinex  ,58910.0,16.875,-14.438
27/Dec/2017: 07:27 PM,ETH,exmo    ,49950.42,koinex  ,58910.0,17.937,-15.209
27/Dec/2017: 07:27 PM,ETH,bitfinex,48394.913,koinex  ,58910.0,21.728,-17.849
27/Dec/2017: 07:27 PM,ETH,Kraken  ,48348.805,koinex  ,58910.0,21.844,-17.928

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:28 PM,LTC,Bittrex ,18337.484,koinex  ,21350.0,16.428,-14.11
27/Dec/2017: 07:28 PM,LTC,exmo    ,18193.48,koinex  ,21350.0,17.35,-14.785
27/Dec/2017: 07:28 PM,LTC,bitfinex,17653.631,koinex  ,21350.0,20.938,-17.313
27/Dec/2017: 07:28 PM,LTC,Kraken  ,17635.7,koinex  ,21350.0,21.061,-17.397

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:31 PM,XRP,cex,73.581,koinex  ,91.8,24.761,-19.847
